document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program
,23659,Greensboro WWTP,13514 Greensboro Rd (rte 313),"Greensboro,MD,21639",Caroline,Penalty Settlement,PS-12-1704,07/31/2012,08/15/2012,Surface Water Discharge Permit,Municipal Minor
,23669,Fruitland Wastewater Treatment Plant,200 Shady Ln,"Fruitland,MD,21826",Wicomico,Required Confirmation,Jess Herpel,02/13/2020,02/27/2020,Surface Water Discharge Permit,Municipal Minor
,24035,Cox Creek WWTP,8833 Wagner Station Road,"Curtis Bay,MD,21226",Anne Arundel,Consent Order,CO-15-2161,10/08/2014,04/10/2019,Surface Water Discharge Permit,Municipal Major
,24046,Anne Arundel County School Transportation Garage,8229 Waterford Road,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,Joe Bieberich,02/27/2017,03/14/2017,Surface Water Discharge Permit,Industrial Stormwater
,25373,Huntingtown High School,4125 Solomons Island Rd,"Huntingtown,MD,20639",Calvert,Consent Order,CO-14-2013,10/12/2013,03/31/2016,Groundwater Discharge Permit,Municipal Minor
,25886,"Charles County Nursing & Rehab Center, Inc.",10200 La Plata Road,"La Plata,MD,20646",Charles,Penalty Settlement,Arno Laud,08/15/2018,09/11/2018,Surface Water Discharge Unauthorized,
,28150,WSSC Piscataway WRRF,11 W Farmington Rd,"Accokeek,MD,20607",Prince George's,Penalty Settlement,Patrick Noyes,05/22/2019,06/20/2019,Surface Water Discharge Unauthorized,Municipal Major
,31395,Baltimore City Sanitary Sewer Overflows,City Wide Sewerage System,"Baltimore,MD,00000",Baltimore City,Stipulated Penalty,Arno laud,09/11/2013,01/31/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,31395,Baltimore City Sanitary Sewer Overflows,City Wide Sewerage System,"Baltimore,MD,00000",Baltimore City,Stipulated Penalty,SP-19-2372,11/27/2018,01/07/2019,Surface Water Discharge Unauthorized,Collection System (SSO)
,31395,Baltimore City Sanitary Sewer Overflows,City Wide Sewerage System,"Baltimore,MD,00000",Baltimore City,Stipulated Penalty,SP-21-2727,06/23/2021,,Surface Water Discharge Unauthorized,Collection System (SSO)
,31396,Anne Arundel County Sanitary Sewer Overflows,"County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000",Anne Arundel,Penalty Settlement,,01/31/2013,01/31/2013,Surface Water Discharge Unauthorized,Collection System (SSO)
,31396,Anne Arundel County Sanitary Sewer Overflows,"County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000",Anne Arundel,Penalty Settlement,Arno Laud,03/03/2013,03/03/2013,Surface Water Discharge Unauthorized,Collection System (SSO)
,31401,Saint Mary's County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",St. Mary's,Penalty Settlement,Patrick Noyes,08/04/2016,08/31/2016,Surface Water Discharge Unauthorized,Collection System (SSO)
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1597406,31405,Allegany County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Allegany,Stipulated Penalty,SP-22-2810,04/30/2022,,Surface Water Discharge Unauthorized,Collection System (SSO)
,31413,Somerset County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Somerset,Penalty Settlement,Jami Everton,02/24/2020,09/04/2020,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO)
,31416,Worcester County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Worcester,Penalty Settlement,Kevin Bull,05/21/2015,06/09/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Penalty Settlement,"Bull, Kevin",03/15/2015,04/08/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,31698,Camp Winona,6825 Winona Place,"Hughesville,MD,20637",Charles,Consent Order,COP-14-2104,06/20/2014,07/28/2016,Groundwater Discharge Permit,Municipal Minor
,32218,WSSC - Bi-County Water Main Package Wastewater Treatment Plant,"9212 Kensington Pkwy, Tunnel between Tuckerman Lane & Stoneybrook Dr","Chevy Chase,MD,20815",Montgomery,Settlement Agreement,SA-13-1744,10/12/2012,11/13/2012,Surface Water Discharge Permit,Industrial Minor
,18883,Joppatowne WWTP,101 Shore Dr,"Joppa,MD,21085",Harford,Consent Order,CO-12-1670,06/05/2012,01/05/2016,Surface Water Discharge Permit,Municipal Minor
,19262,"Daniel G. Schuster, Inc. - Frederick Plant",530 E South St,"Frederick,MD,21701",Frederick,Settlement Agreement,Patrick Noyes,12/14/2018,12/26/2018,Surface Water Discharge Permit,Industrial Minor
,19332,Denton WWTP,650 Legion Rd,"Denton,MD,21629",Caroline,Consent Order,CO-12-1564,01/17/2012,02/07/2012,Surface Water Discharge Permit,Municipal Minor
,19481,Woodsboro WWTP,SE OF WOODSBORO PIKE & WOODSBORO ROAD,"Woodsboro,MD,21798",Frederick,Penalty Settlement,PS-12-1496,10/31/2011,09/24/2013,Surface Water Discharge Permit,Municipal Minor
,20024,Perryville WWTP,72 Ikea Way,"Perryville,MD,21903",Cecil,Penalty Settlement,"Bull, Kevin",11/13/2014,12/01/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,20487,"Spring Cove Marina Solomons, LLC",455 Lore Rd,"Solomons,MD,20688",Calvert,Penalty Settlement,PS-14-2102,06/30/2014,07/17/2014,Tidal Wetlands,
,21045,Worton - Butlertown WWTP,25310 Chinquapin Rd,"Worton,MD,21678",Kent,Penalty Settlement,PS-13-1928,05/15/2013,07/15/2013,Groundwater Discharge Permit;Surface Water Discharge Permit,Municipal Minor
,21566,"Constellation Power Source Generation, LLC",2641 Brickhead Rd,"Gambrills,MD,21054",Anne Arundel,Consent Decree,CJ-08-0617,10/01/2007,,Groundwater Discharge Unauthorized,
,21819,G & S Coal - Wildman Mine,"4 Miles NE of Swanton off Rte 135, 15500 Block Maryland Hwy","Swanton,MD,21561",Garrett,,,,,Not Assigned,
,21834,Leonardtown WWTP Expansion,22620 Van Wert lane,"Leonardtown,MD,20650",St. Mary's,Consent Order,CO-15-2206,04/24/2015,09/18/2019,Surface Water Discharge Permit,Municipal Minor
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1596406,21860,Accident WWTP,427 S. Main St,"Accident,MD,21520",Garrett,Stipulated Penalty,SP-23-2889,03/23/2023,,Surface Water Discharge Permit,Municipal Minor
,21876,Swan Point WWTP,12100 Swan Point Rd,"Issue,MD,20664",Charles,Amended Consent Order,ACO-14-2066,03/11/2014,03/01/2018,Surface Water Discharge Permit,Municipal Minor
,22172,Mount Airy WWTP,7245 Ridge Rd,"Mount Airy,MD,21771",Carroll,Penalty Settlement,PS-16-2337,11/12/2015,11/12/2015,Surface Water Discharge Permit,Collection System (SSO)
,22175,Marlay-Taylor Water Reclamation Facility,48020 Pine Hill Run Rd.,"Lexington Park,MD,20653",St. Mary's,Stipulated Penalty,Arno Laud,09/05/2013,04/24/2017,Surface Water Discharge Permit,Municipal Major
,22208,Middletown East WWTP,7320 Holter Rd,"Middletown,MD,21769",Frederick,Penalty Settlement,Joe Bieberich,04/13/2017,05/10/2017,Surface Water Discharge Unauthorized,Collection System (SSO)
,22525,Wynnewood Recreation Center,5731 Oakland Rd,"Baltimore,MD,21227",Baltimore,Amended Consent Order,CO-18-2535,05/31/2018,01/09/2019,Surface Water Discharge Permit,
,22929,Maple Hill Mobile Home Park,3 Buttonwood Lane,"Port Deposit,MD,21904",Cecil,Consent Order,CO-15-2146,09/22/2014,03/09/2018,Surface Water Discharge Permit,Municipal Minor
,22946,Mill Bottom WWTP,4774 Bill Moxley Rd,"Mount Airy,MD,21771",Frederick,Consent Order,CO-15-2121,09/25/2014,11/09/2016,Surface Water Discharge Permit,Municipal Minor
,22963,Preserve at Wye Mills WWTP,13525 Rustling Oaks Drive,"Wye Mills,MD,21679",Talbot,Penalty Settlement,PS-15-2302,08/13/2015,08/26/2015,Groundwater Discharge Permit,Municipal Minor
,23169,"Seymour, Inc",30085 Charlotte Hall Rd,"Charlotte Hall,MD,20622",St. Mary's,Required Confirmation,SAP-13-1731,,,Not Assigned,
,23482,The City of Westminster Water Reclamation Facility (WRF),1161 Old New Windsor Pike,"Westminster,MD,21158",Carroll,Penalty Settlement,PS-20-2653,05/04/2020,05/18/2020,Not Assigned,
,23551,GenOn MD Ash Management LLC-Faulkner Flyash Management Site,10200 Faulkner Road,"Faulkner,MD,20664",Charles,Consent Decree,Lenn Roberts,05/01/2013,,Surface Water Discharge Permit,Industrial Minor
,23638,Berlin WWTP,9210 Bottle Branch Rd,"Berlin,MD,21811",Worcester,Penalty Settlement,PS-15-2163,10/09/2014,10/29/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,23922,Severn School,201 Water St,"Severna Park,MD,21146",Anne Arundel,Penalty Settlement,15-PS-2192,12/23/2014,01/02/2015,Notice of Intent,Notice of Intent (Construction)
,24824,"J. W. Treuth & Sons, Inc",328 Oella Avenue,"Catonsville,MD,21228",Baltimore,Penalty Settlement,CO-13-1798,11/13/2012,12/07/2012,Surface Water Discharge Permit,
,23657,Preston WWTP,105 Back Landing Rd,"Preston,MD,21655",Caroline,Consent Order,CO-16-2327,10/13/2015,,Surface Water Discharge Permit,Municipal Minor
,23658,Federalsburg Wastewater Treatment Plant,125 Kerney Street,"Federalsburg,MD,21632",Caroline,Penalty Settlement,Patrick Noyes,09/23/2019,09/25/2019,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor
,23659,Greensboro WWTP,13514 Greensboro Rd (rte 313),"Greensboro,MD,21639",Caroline,Offer to Settle,,12/12/2011,07/12/2012,Surface Water Discharge Permit,
,23669,Fruitland Wastewater Treatment Plant,200 Shady Ln,"Fruitland,MD,21826",Wicomico,Penalty Settlement,Patrick Noyes,07/17/2018,07/31/2018,Surface Water Discharge Permit,Municipal Minor
,23670,Holiday Mobile Estates WWTP,7810 Clark Rd & Keith Lane,"Jessup,MD,20794",Anne Arundel,Consent Order,COP-16-2289,07/29/2015,08/11/2015,Surface Water Discharge Permit,Municipal Minor
,23861,Cobra Mining - Watertank Road,Watertank Road,"Barton,MD,21521",Allegany,,C-09-0791,,,Not Assigned,
,24035,Cox Creek WWTP,8833 Wagner Station Road,"Curtis Bay,MD,21226",Anne Arundel,Stipulated Penalty,Arno Laud,10/02/2018,10/30/2018,Surface Water Discharge Permit,Municipal Major
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2727877,31284,"P & J Contracting Company, Inc.",4300 Shannon Dr.,"Baltimore,MD,21213",Baltimore City,Consent Decree,CJ-21-2692,02/10/2021,,Sediment;Stormwater Management,Industrial Stormwater
,31394,Baltimore County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Baltimore,Stipulated Penalty,Kevin Bull,03/06/2018,04/28/2018,Surface Water Discharge Unauthorized,Collection System (SSO)
,31394,Baltimore County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Baltimore,Stipulated Penalty,SP-14-2074,04/01/2014,04/27/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,31394,Baltimore County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Baltimore,Stipulated Penalty,SP-19-2546,07/31/2018,10/23/2018,Surface Water Discharge Unauthorized,Collection System (SSO)
,31398,Charles County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Charles,Penalty Settlement,Arno Laud,09/16/2015,09/28/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,31398,Charles County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Charles,Penalty Settlement,SP-13-1910,05/15/2013,05/16/2013,Surface Water Discharge Unauthorized,Collection System (SSO)
,31402,Carroll County Sanitary Sewer Overflows,County Wide Sewerage System - Bureau of Utilities,"Westminster,MD,21157",Carroll,Penalty Settlement,"Bull, Kevin",06/16/2015,07/24/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,31403,Frederick County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Frederick,Required Confirmation,Lenn Roberts,11/02/2020,11/23/2020,Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized,Collection System (SSO)
,31404,Garrett County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Garrett,Penalty Settlement,Joe Bieberich,03/24/2017,04/03/2017,Surface Water Discharge Unauthorized,Collection System (SSO)
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1597406,31405,Allegany County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Allegany,Stipulated Penalty,SP-23-2891,02/22/2023,,Surface Water Discharge Unauthorized,Collection System (SSO)
,31407,Cecil County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Cecil,Offer to Settle,PS-20-2642,02/28/2020,09/04/2020,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO)
,31407,Cecil County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Cecil,Offer to Settle,PS-20-2642,02/28/2020,09/04/2020,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor
,31407,Cecil County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Cecil,Penalty Settlement,"Bull, Kevin",05/15/2013,07/02/2013,Surface Water Discharge Unauthorized,Collection System (SSO)
,31407,Cecil County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Cecil,Required Confirmation,Jami Everton,02/28/2020,09/04/2020,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor
,19069,Cecil County Central Landfill,758 E old Philadelphia Rd,"Elkton,MD,21921",Cecil,Consent Order,CO-13-1868,03/11/2013,07/30/2014,Sediment,
,19072,Town of La Plata WWTP Clarifier Excavation,6505 Curley Hall Road,"La Plata,MD,20646",Charles,Penalty Settlement,Arno Laud,10/21/2011,04/01/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,19080,Winters Apartments WWTP,Rte 5 at Winters Lane,"Leonardtown,MD,20650",St. Mary's,,,,03/05/2020,Not Assigned,
,19714,Happy Hills Campground,12617 Seavolt Rd,"Hancock,MD,21750",Washington,Consent Order,COP-12-1428,08/05/2011,09/13/2016,Surface Water Discharge Permit,
,19730,Glenelg Country School,12793 Folly Quarter Rd,"Ellicott City,MD,21042",Howard,Amended Consent Order,SA-18-2536,06/04/2018,11/06/2019,Groundwater Discharge Permit,Municipal Minor
,20072,"Concrete General, Inc",8000 Beechcraft Avenue,"Gaithersburg,MD,20879",Montgomery,Settlement Agreement and Consent Order,SAP-18-2486,08/30/2017,09/21/2021,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor
,20253,Calvert County Industrial Park WWTP,300 Skipjack Rd,"Prince Frederick,MD,20678",Calvert,Settlement Agreement,SAP-14-2100,07/15/2014,07/11/2014,Surface Water Discharge Permit,Municipal Minor
,20701,Perdue Inc,521 Willow St,"Salisbury,MD,21801",Wicomico,Penalty Settlement,PS-13-1902,04/12/2013,09/11/2014,Surface Water Discharge Unauthorized,Industrial Minor
,21818,G & S Coal Company - Pee Wee Hill Mine,"Pee Wee Hill Rd, 1.3 Miles Ne Of Kitzmiller","Kitzmiller,MD,21538",Garrett,,,,,Not Assigned,
,21829,Millington WWTP,227 Sassafras St,"Millington,MD,21651",Queen Anne's,Penalty Settlement,"Bull, Kevin",08/06/2014,09/05/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,21834,Leonardtown WWTP Expansion,22620 Van Wert lane,"Leonardtown,MD,20650",St. Mary's,Stipulated Penalty,Arno Laud,08/23/2019,09/18/2019,Surface Water Discharge Permit,Municipal Major
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1923329,21841,Oxford WWTP,103 J. L. Thompson Dr,"Oxford,MD,21654",Talbot,Offer to Settle,CA-17-2413,10/13/2022,03/02/2023,Surface Water Discharge Permit,Municipal Minor
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1923329,21841,Oxford WWTP,103 J. L. Thompson Dr,"Oxford,MD,21654",Talbot,Stipulated Penalty,SP-23-2849,01/13/2023,03/02/2023,Surface Water Discharge Permit,Municipal Minor
,21842,I-70 East Rest Area,"I-70 East, Mile Marker 39","Myersville,MD,21773",Frederick,Penalty Settlement,PS-21-2661,09/16/2020,11/10/2020,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor
,21850,Union Bridge WWTP,115 W Locust St,"Union Bridge,MD,21791",Carroll,Penalty Settlement,PS-15-2179,10/09/2014,11/21/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,21857,Homestead Mobile Estates WWTP,27 Benjamin Park Dr,"Port Deposit,MD,21904",Cecil,Administrative Order,CO-17-2458,04/28/2017,02/15/2018,Surface Water Discharge Permit,Municipal Minor
,21865,Thunderbird Motel WWTP,11050 Crain Hwy,"Newburg,MD,20664",Charles,"Complaint, Order, Penalty",AOP-13-1903,05/22/2013,11/05/2013,Surface Water Discharge Permit,Municipal Minor
,21877,Cedar Mobile Home Park WWTP,18240 Lepore Rd,"Marydel,MD,21649",Caroline,Consent Order,CJ-13-1715,06/06/2012,09/12/2016,Surface Water Discharge Permit,Municipal Minor
,21881,Susquehanna Water Filtration Plant,1507 Frenchtown Rd,"Perryville,MD,21903",Cecil,Penalty Settlement,PS-14-2088,05/21/2014,06/09/2014,Surface Water Discharge Permit,Municipal Minor
,21898,Talbot Trailer Park,9538 Black Dog Alley,"Easton,MD,21601",Talbot,Amended Consent Order,SA-13-1886,07/24/2013,08/01/2017,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor
,21898,Talbot Trailer Park,9538 Black Dog Alley,"Easton,MD,21601",Talbot,Settlement Agreement,SAP-13-1816,12/12/2012,07/24/2013,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor
,22171,Chestertown WWTP,25792 John Hanson Rd,"Chestertown,MD,21620",Kent,Penalty Settlement,SAP-16-2381,03/08/2016,05/19/2016,Surface Water Discharge Permit,Industrial Minor
,22175,Marlay-Taylor Water Reclamation Facility,48020 Pine Hill Run Rd.,"Lexington Park,MD,20653",St. Mary's,Penalty Settlement,Arno Laud,08/15/2018,09/04/2018,Surface Water Discharge Permit,Municipal Major
,23479,Grantsville WWTP,10300 Block of National Pike,"Grantsville,MD,21536",Garrett,Stipulated Penalty,SP-21-2729,07/19/2021,,Surface Water Discharge Permit,Municipal Minor
,23479,Grantsville WWTP,10300 Block of National Pike,"Grantsville,MD,21536",Garrett,Stipulated Penalty,SP-23-2837,11/03/2022,,Surface Water Discharge Permit,Municipal Minor
,23493,Eastern Correctional Institution WTP and WWTP,30209 Perry Road,"Westover,MD,21871",Somerset,Penalty Settlement,Patrick Noyes,03/06/2018,03/20/2018,Surface Water Discharge Unauthorized,Municipal Minor
,23521,Fairmount WWTP,8104 Hall's Creek Rd,"Westover,MD,21871",Somerset,Complaint & Penalty,AP-13-1951,07/22/2013,09/23/2013,Surface Water Discharge Permit,Municipal Minor
,23569,Centreville WWTP,101 Lawyers Row,"Centreville,MD,21617",Queen Anne's,Administrative Order,PS-16-2344,11/19/2015,11/19/2015,Surface Water Discharge Permit,Municipal Minor
,23637,Bel Alton WWTP,9225 Twinberry Drive,"Bel Alton,MD,20611",Charles,Consent Order,CO-15-2151,09/25/2014,09/28/2015,Surface Water Discharge Permit,Municipal Minor
,23651,Vienna WWTP,113 Levin-Dorsey Rd,"Vienna,MD,21869",Dorchester,Penalty Settlement,Patrick Noyes,12/12/2017,12/27/2017,Surface Water Discharge Unauthorized,Collection System (SSO)
,23658,Federalsburg Wastewater Treatment Plant,125 Kerney Street,"Federalsburg,MD,21632",Caroline,Penalty Settlement,PS-13-1734,08/13/2012,09/11/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,23664,Church Hill WWTP,MD Rte 213,"Church Hill,MD,21623",Queen Anne's,Penalty Settlement,"Bull, Kevin",06/30/2015,06/30/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,23669,Fruitland Wastewater Treatment Plant,200 Shady Ln,"Fruitland,MD,21826",Wicomico,Consent Order,CO-13-1759,09/06/2012,06/15/2017,Surface Water Discharge Permit,Municipal Minor
,23689,"Shuler's All Pro Car Wash, Inc.",11070 Cathell Rd.,"Berlin,MD,21811",Worcester,Administrative Order,SAP-14-2056,02/14/2014,02/28/2014,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor
,25951,"Norris E. Taylor Contractors, Inc.",9 Washington Street,"Cambridge,MD,21613",Dorchester,Amended Complaint & Order,AOP-13-1871,03/07/2013,07/01/2015,Sediment,
,26971,Betterton WWTP,28 Third Ave,"Betterton,MD,21610",Kent,Penalty Settlement,Jessica Herpel,10/16/2019,11/12/2019,Surface Water Discharge Permit,Municipal Minor
,26971,Betterton WWTP,28 Third Ave,"Betterton,MD,21610",Kent,Penalty Settlement,PS-12-1638,08/14/2012,09/14/2012,Surface Water Discharge Unauthorized,Collection System (SSO)
,29763,Newland Park Municipal Landfill,7161 Brick Kiln Rd,"Salisbury,MD,21801",Wicomico,Consent Order,CO-16-2360,12/23/2015,02/14/2019,Surface Water Discharge Permit,Municipal Minor
,29808,"Jubilant Cadista Pharmaceuticals, Inc.",207 Kiley Drive,"Salisbury,MD,21801",Wicomico,Required Confirmation,Jess Herpel,02/13/2020,02/21/2020,Surface Water Discharge Permit,Industrial Minor
,31284,"P & J Contracting Company, Inc.",4300 Shannon Dr.,"Baltimore,MD,21213",Baltimore City,Consent Decree,CJ-16-2304,09/09/2015,02/22/2021,Sediment;Stormwater Management,Industrial Stormwater
,31394,Baltimore County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Baltimore,Consent Decree,Jess Herpel,09/20/2005,,Surface Water Discharge Unauthorized,Collection System (SSO)
,31394,Baltimore County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Baltimore,Stipulated Penalty,Jess Herpel,07/29/2020,09/10/2020,Surface Water Discharge Unauthorized,Municipal Major
,31395,Baltimore City Sanitary Sewer Overflows,City Wide Sewerage System,"Baltimore,MD,00000",Baltimore City,Penalty Settlement,"Bull, Kevin",01/30/2015,02/18/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,31395,Baltimore City Sanitary Sewer Overflows,City Wide Sewerage System,"Baltimore,MD,00000",Baltimore City,Stipulated Penalty,Patrick Noyes,03/04/2016,04/26/2016,Surface Water Discharge Unauthorized,Collection System (SSO)
,31396,Anne Arundel County Sanitary Sewer Overflows,"County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000",Anne Arundel,Penalty Settlement,Arno Laud,08/22/2013,08/22/2013,Surface Water Discharge Unauthorized,Collection System (SSO)
,31396,Anne Arundel County Sanitary Sewer Overflows,"County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000",Anne Arundel,Penalty Settlement,Arno Laud,07/17/2017,07/24/2017,Surface Water Discharge Unauthorized,Collection System (SSO)
,32502,Harford County Public Schools Administration Building,102 S. Hickory Avenue,"Bel Air,MD,21014",Harford,Penalty Settlement,Arno Laud,07/18/2012,07/19/2012,Surface Water Discharge Unauthorized,
,32590,Easton Utilities,201 N Washington Street,"Easton,MD,21601",Talbot,Offer to Settle,,03/09/2020,05/11/2020,Groundwater Discharge Unauthorized;Surface Water Discharge Permit,Collection System (SSO)
,36905,"Bessie M. Herbert property, CH-113",7761 Waldorf Leonardtown Road,"Hughesville,MD,20637",Charles,Penalty Settlement,PS-14-2016,09/26/2013,03/07/2014,Notice of Intent,Notice of Intent (Construction)
,38112,"Urban N. Zink Contractor, Inc",6924 Ebenezer Road,"Chase,MD,21027",Baltimore,Penalty Settlement,PS-13-1807,01/10/2013,02/05/2013,Sediment,
,63616,"Red Hill Lots (1-84)
Phase 2 - Ben BLVD and Erin Court Lots 18-56","Red Hill Rd, Ben Boulevard, Elkton, Maryland 21921,  39.61253°,  -75.80515°","Elkton,MD,21921",Cecil,,,,,Not Assigned,
,63672,"SHA, MD 200 Intercounty Connector Contract C",BETWEEN I-270 TO US 1 SO,"Beltsville,MD,20705",Prince George's,Settlement Agreement,SA-13-1727,08/06/2012,08/14/2012,Notice of Intent;Sediment,Notice of Intent (Construction)
,63836,Michael L. Grady,"16104 Harwood Drive, Summit Subdivision","Frostburg,MD,21532",Allegany,,,,,Not Assigned,
,63964,Toby Miller,"11701 Amherst Ave, Bowman's Addition","Cumberland,MD,21502",Allegany,Settlement Agreement,Eisgruber,03/04/2013,11/20/2014,Sediment;Waterway Construction,
,64129,Hilmer property,"Wayne Hilmer, 1750 Romancoke Rd","Stevensville,MD,21666",Queen Anne's,Consent Order,CO-14-2091,05/16/2014,,Tidal Wetlands,
,64534,Irishtown,"Irishtown Limited Partnership, Pintail Point Farm Lane","Queenstown,MD,21658",Queen Anne's,Amended Complaint & Penalty,AP-11-1377,07/26/2011,01/18/2012,Non-Tidal Wetlands;Notice of Intent;Sediment,
,64881,MD193 and Kings Valley Drive,MD 193 and Kings Valley Dr,"Mitchellville,MD,20774",Prince George's,,,,09/25/2012,Not Assigned,
,65180,08-GL-1366 Town of Perryville Meck Property,61 RIVER RD,"Perryville,MD,21903",Cecil,Settlement Agreement,Patrick Noyes,09/26/2013,01/25/2015,Sediment,
,65333,St. Mary's Villas,St. Mary's Ave & Hibiscus Ct,"La Plata,MD,20646",Charles,Penalty Settlement,C-16-2357,11/24/2015,03/30/2016,Sediment,
,65700,Greenway Farm Phase II & III,off Pulaski Hwy,"Havre De Grace,MD,21078",Harford,Consent Decree,Eisgruber,09/27/2010,07/13/2016,Sediment,Notice of Intent (Construction)
,65865,Michael C. Fitzpatrick,11910 Emerald Court,"Ellicott City,MD,21043",Howard,Settlement Agreement,Arno Laud,09/22/2017,10/05/2017,Non-Tidal Wetlands;Waterway Construction,
,65929,17111 Hunter Green Rd,17111 Hunter Green Rd,"Upperco,MD,21155",Baltimore,,,,,Not Assigned,
,66431,Joseph P. Wilkinson  FHO,23700 Dry Docking Lane,"Leonardtown,MD,20650",St. Mary's,Penalty Settlement,PS-13-1770,09/11/2012,11/30/2012,Sediment,
,66714,"John Eggers, 6115 Emerald Lane, pond","6115 Emerald Lane, John Eggers","Eldersburg,MD,21784",Carroll,Penalty Settlement,COP-15-2155,09/30/2014,09/22/2014,Sediment;Waterway Construction,
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,
,67235,"PCM Construction, Inc",10511 Tucker St,"Beltsville,MD,20705",Prince George's,,,,07/01/2013,Not Assigned,
,67416,Garrett County Roads Dept. - Big Run Dike,Big Run State Park,"Grantsville,MD,21536",Garrett,,,,,Not Assigned,
,67659,"Fisher Marine Construction, Inc",735 South Main St,"Chincoteague,VA,23336",Outside of Maryland,,,,,Not Assigned,
,67711,Amtrak Way,Amtrak Way,"Linthicum,MD,21090",Anne Arundel,Settlement Agreement,SAP-14-2062,03/06/2014,03/31/2014,Sediment;Waterway Construction,
,68106,Norris Taylor Property off Nixon Road,Nixon Road,"Easton,MD,21601",Talbot,,,,,Not Assigned,
,68447,"James Strippy, Jr.",2180 Potts Point Rd,"Huntingtown,MD,20639",Calvert,Consent Decree,CJ-13-1794,11/15/2012,07/14/2014,Tidal Wetlands,
,68778,"Calvert Crossings, LLC",Hidden Creek Rd,"Port Republic,MD,20676",Calvert,Penalty Settlement,PS-13-1955,06/20/2013,06/21/2013,Notice of Intent,Notice of Intent (Construction)
