document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program,county_slug,site_slug
,31407,Cecil County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Cecil,Required Confirmation,Jami Everton,2020-02-28,2020-09-04,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,cecil,cecil-county-sanitary-sewer-overflows
,19069,Cecil County Central Landfill,758 E old Philadelphia Rd,"Elkton,MD,21921",Cecil,Consent Order,CO-13-1868,2013-03-11,2014-07-30,Sediment,,cecil,cecil-county-central-landfill
,19072,Town of La Plata WWTP Clarifier Excavation,6505 Curley Hall Road,"La Plata,MD,20646",Charles,Penalty Settlement,Arno Laud,2011-10-21,2014-04-01,Surface Water Discharge Unauthorized,Collection System (SSO),charles,town-of-la-plata-wwtp-clarifier-excavation
,19080,Winters Apartments WWTP,Rte 5 at Winters Lane,"Leonardtown,MD,20650",St. Mary's,,,,2020-03-05,Not Assigned,,st-mary-s,winters-apartments-wwtp
,19714,Happy Hills Campground,12617 Seavolt Rd,"Hancock,MD,21750",Washington,Consent Order,COP-12-1428,2011-08-05,2016-09-13,Surface Water Discharge Permit,,washington,happy-hills-campground
,19730,Glenelg Country School,12793 Folly Quarter Rd,"Ellicott City,MD,21042",Howard,Amended Consent Order,SA-18-2536,2018-06-04,2019-11-06,Groundwater Discharge Permit,Municipal Minor,howard,glenelg-country-school
,20072,"Concrete General, Inc",8000 Beechcraft Avenue,"Gaithersburg,MD,20879",Montgomery,Settlement Agreement and Consent Order,SAP-18-2486,2017-08-30,2021-09-21,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor,montgomery,concrete-general-inc
,20253,Calvert County Industrial Park WWTP,300 Skipjack Rd,"Prince Frederick,MD,20678",Calvert,Settlement Agreement,SAP-14-2100,2014-07-15,2014-07-11,Surface Water Discharge Permit,Municipal Minor,calvert,calvert-county-industrial-park-wwtp
,20701,Perdue Inc,521 Willow St,"Salisbury,MD,21801",Wicomico,Penalty Settlement,PS-13-1902,2013-04-12,2014-09-11,Surface Water Discharge Unauthorized,Industrial Minor,wicomico,perdue-inc
,21818,G & S Coal Company - Pee Wee Hill Mine,"Pee Wee Hill Rd, 1.3 Miles Ne Of Kitzmiller","Kitzmiller,MD,21538",Garrett,,,,,Not Assigned,,garrett,g-s-coal-company-pee-wee-hill-mine
,21829,Millington WWTP,227 Sassafras St,"Millington,MD,21651",Queen Anne's,Penalty Settlement,"Bull, Kevin",2014-08-06,2014-09-05,Surface Water Discharge Unauthorized,Collection System (SSO),queen-anne-s,millington-wwtp
,21834,Leonardtown WWTP Expansion,22620 Van Wert lane,"Leonardtown,MD,20650",St. Mary's,Stipulated Penalty,Arno Laud,2019-08-23,2019-09-18,Surface Water Discharge Permit,Municipal Major,st-mary-s,leonardtown-wwtp-expansion
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1923329,21841,Oxford WWTP,103 J. L. Thompson Dr,"Oxford,MD,21654",Talbot,Offer to Settle,CA-17-2413,2022-10-13,2023-03-02,Surface Water Discharge Permit,Municipal Minor,talbot,oxford-wwtp
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1923329,21841,Oxford WWTP,103 J. L. Thompson Dr,"Oxford,MD,21654",Talbot,Stipulated Penalty,SP-23-2849,2023-01-13,2023-03-02,Surface Water Discharge Permit,Municipal Minor,talbot,oxford-wwtp
,21842,I-70 East Rest Area,"I-70 East, Mile Marker 39","Myersville,MD,21773",Frederick,Penalty Settlement,PS-21-2661,2020-09-16,2020-11-10,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,frederick,i-70-east-rest-area
,21850,Union Bridge WWTP,115 W Locust St,"Union Bridge,MD,21791",Carroll,Penalty Settlement,PS-15-2179,2014-10-09,2014-11-21,Surface Water Discharge Unauthorized,Collection System (SSO),carroll,union-bridge-wwtp
,21857,Homestead Mobile Estates WWTP,27 Benjamin Park Dr,"Port Deposit,MD,21904",Cecil,Administrative Order,CO-17-2458,2017-04-28,2018-02-15,Surface Water Discharge Permit,Municipal Minor,cecil,homestead-mobile-estates-wwtp
,21865,Thunderbird Motel WWTP,11050 Crain Hwy,"Newburg,MD,20664",Charles,"Complaint, Order, Penalty",AOP-13-1903,2013-05-22,2013-11-05,Surface Water Discharge Permit,Municipal Minor,charles,thunderbird-motel-wwtp
,21877,Cedar Mobile Home Park WWTP,18240 Lepore Rd,"Marydel,MD,21649",Caroline,Consent Order,CJ-13-1715,2012-06-06,2016-09-12,Surface Water Discharge Permit,Municipal Minor,caroline,cedar-mobile-home-park-wwtp
,21881,Susquehanna Water Filtration Plant,1507 Frenchtown Rd,"Perryville,MD,21903",Cecil,Penalty Settlement,PS-14-2088,2014-05-21,2014-06-09,Surface Water Discharge Permit,Municipal Minor,cecil,susquehanna-water-filtration-plant
,21898,Talbot Trailer Park,9538 Black Dog Alley,"Easton,MD,21601",Talbot,Amended Consent Order,SA-13-1886,2013-07-24,2017-08-01,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor,talbot,talbot-trailer-park
,21898,Talbot Trailer Park,9538 Black Dog Alley,"Easton,MD,21601",Talbot,Settlement Agreement,SAP-13-1816,2012-12-12,2013-07-24,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor,talbot,talbot-trailer-park
,22171,Chestertown WWTP,25792 John Hanson Rd,"Chestertown,MD,21620",Kent,Penalty Settlement,SAP-16-2381,2016-03-08,2016-05-19,Surface Water Discharge Permit,Industrial Minor,kent,chestertown-wwtp
,22175,Marlay-Taylor Water Reclamation Facility,48020 Pine Hill Run Rd.,"Lexington Park,MD,20653",St. Mary's,Penalty Settlement,Arno Laud,2018-08-15,2018-09-04,Surface Water Discharge Permit,Municipal Major,st-mary-s,marlay-taylor-water-reclamation-facility
,23479,Grantsville WWTP,10300 Block of National Pike,"Grantsville,MD,21536",Garrett,Stipulated Penalty,SP-21-2729,2021-07-19,,Surface Water Discharge Permit,Municipal Minor,garrett,grantsville-wwtp
,23479,Grantsville WWTP,10300 Block of National Pike,"Grantsville,MD,21536",Garrett,Stipulated Penalty,SP-23-2837,2022-11-03,,Surface Water Discharge Permit,Municipal Minor,garrett,grantsville-wwtp
,23493,Eastern Correctional Institution WTP and WWTP,30209 Perry Road,"Westover,MD,21871",Somerset,Penalty Settlement,Patrick Noyes,2018-03-06,2018-03-20,Surface Water Discharge Unauthorized,Municipal Minor,somerset,eastern-correctional-institution-wtp-and-wwtp
,23521,Fairmount WWTP,8104 Hall's Creek Rd,"Westover,MD,21871",Somerset,Complaint & Penalty,AP-13-1951,2013-07-22,2013-09-23,Surface Water Discharge Permit,Municipal Minor,somerset,fairmount-wwtp
,23569,Centreville WWTP,101 Lawyers Row,"Centreville,MD,21617",Queen Anne's,Administrative Order,PS-16-2344,2015-11-19,2015-11-19,Surface Water Discharge Permit,Municipal Minor,queen-anne-s,centreville-wwtp
,23637,Bel Alton WWTP,9225 Twinberry Drive,"Bel Alton,MD,20611",Charles,Consent Order,CO-15-2151,2014-09-25,2015-09-28,Surface Water Discharge Permit,Municipal Minor,charles,bel-alton-wwtp
,23651,Vienna WWTP,113 Levin-Dorsey Rd,"Vienna,MD,21869",Dorchester,Penalty Settlement,Patrick Noyes,2017-12-12,2017-12-27,Surface Water Discharge Unauthorized,Collection System (SSO),dorchester,vienna-wwtp
,23658,Federalsburg Wastewater Treatment Plant,125 Kerney Street,"Federalsburg,MD,21632",Caroline,Penalty Settlement,PS-13-1734,2012-08-13,2014-09-11,Surface Water Discharge Unauthorized,Collection System (SSO),caroline,federalsburg-wastewater-treatment-plant
,23664,Church Hill WWTP,MD Rte 213,"Church Hill,MD,21623",Queen Anne's,Penalty Settlement,"Bull, Kevin",2015-06-30,2015-06-30,Surface Water Discharge Unauthorized,Collection System (SSO),queen-anne-s,church-hill-wwtp
,23669,Fruitland Wastewater Treatment Plant,200 Shady Ln,"Fruitland,MD,21826",Wicomico,Consent Order,CO-13-1759,2012-09-06,2017-06-15,Surface Water Discharge Permit,Municipal Minor,wicomico,fruitland-wastewater-treatment-plant
,23689,"Shuler's All Pro Car Wash, Inc.",11070 Cathell Rd.,"Berlin,MD,21811",Worcester,Administrative Order,SAP-14-2056,2014-02-14,2014-02-28,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor,worcester,shuler-s-all-pro-car-wash-inc
,25951,"Norris E. Taylor Contractors, Inc.",9 Washington Street,"Cambridge,MD,21613",Dorchester,Amended Complaint & Order,AOP-13-1871,2013-03-07,2015-07-01,Sediment,,dorchester,norris-e-taylor-contractors-inc
,26971,Betterton WWTP,28 Third Ave,"Betterton,MD,21610",Kent,Penalty Settlement,Jessica Herpel,2019-10-16,2019-11-12,Surface Water Discharge Permit,Municipal Minor,kent,betterton-wwtp
,26971,Betterton WWTP,28 Third Ave,"Betterton,MD,21610",Kent,Penalty Settlement,PS-12-1638,2012-08-14,2012-09-14,Surface Water Discharge Unauthorized,Collection System (SSO),kent,betterton-wwtp
,29763,Newland Park Municipal Landfill,7161 Brick Kiln Rd,"Salisbury,MD,21801",Wicomico,Consent Order,CO-16-2360,2015-12-23,2019-02-14,Surface Water Discharge Permit,Municipal Minor,wicomico,newland-park-municipal-landfill
,29808,"Jubilant Cadista Pharmaceuticals, Inc.",207 Kiley Drive,"Salisbury,MD,21801",Wicomico,Required Confirmation,Jess Herpel,2020-02-13,2020-02-21,Surface Water Discharge Permit,Industrial Minor,wicomico,jubilant-cadista-pharmaceuticals-inc
,31284,"P & J Contracting Company, Inc.",4300 Shannon Dr.,"Baltimore,MD,21213",Baltimore City,Consent Decree,CJ-16-2304,2015-09-09,2021-02-22,Sediment;Stormwater Management,Industrial Stormwater,baltimore-city,p-j-contracting-company-inc
,31394,Baltimore County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Baltimore,Consent Decree,Jess Herpel,2005-09-20,,Surface Water Discharge Unauthorized,Collection System (SSO),baltimore,baltimore-county-sanitary-sewer-overflows
,31394,Baltimore County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Baltimore,Stipulated Penalty,Jess Herpel,2020-07-29,2020-09-10,Surface Water Discharge Unauthorized,Municipal Major,baltimore,baltimore-county-sanitary-sewer-overflows
,31395,Baltimore City Sanitary Sewer Overflows,City Wide Sewerage System,"Baltimore,MD,00000",Baltimore City,Penalty Settlement,"Bull, Kevin",2015-01-30,2015-02-18,Surface Water Discharge Unauthorized,Collection System (SSO),baltimore-city,baltimore-city-sanitary-sewer-overflows
,31395,Baltimore City Sanitary Sewer Overflows,City Wide Sewerage System,"Baltimore,MD,00000",Baltimore City,Stipulated Penalty,Patrick Noyes,2016-03-04,2016-04-26,Surface Water Discharge Unauthorized,Collection System (SSO),baltimore-city,baltimore-city-sanitary-sewer-overflows
,31396,Anne Arundel County Sanitary Sewer Overflows,"County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000",Anne Arundel,Penalty Settlement,Arno Laud,2013-08-22,2013-08-22,Surface Water Discharge Unauthorized,Collection System (SSO),anne-arundel,anne-arundel-county-sanitary-sewer-overflows
,31396,Anne Arundel County Sanitary Sewer Overflows,"County Wide Sewerage System, Anne Arundel County","County-wide,MD,00000",Anne Arundel,Penalty Settlement,Arno Laud,2017-07-17,2017-07-24,Surface Water Discharge Unauthorized,Collection System (SSO),anne-arundel,anne-arundel-county-sanitary-sewer-overflows
,32502,Harford County Public Schools Administration Building,102 S. Hickory Avenue,"Bel Air,MD,21014",Harford,Penalty Settlement,Arno Laud,2012-07-18,2012-07-19,Surface Water Discharge Unauthorized,,harford,harford-county-public-schools-administration-building
,32590,Easton Utilities,201 N Washington Street,"Easton,MD,21601",Talbot,Offer to Settle,,2020-03-09,2020-05-11,Groundwater Discharge Unauthorized;Surface Water Discharge Permit,Collection System (SSO),talbot,easton-utilities
,36905,"Bessie M. Herbert property, CH-113",7761 Waldorf Leonardtown Road,"Hughesville,MD,20637",Charles,Penalty Settlement,PS-14-2016,2013-09-26,2014-03-07,Notice of Intent,Notice of Intent (Construction),charles,bessie-m-herbert-property-ch-113
,38112,"Urban N. Zink Contractor, Inc",6924 Ebenezer Road,"Chase,MD,21027",Baltimore,Penalty Settlement,PS-13-1807,2013-01-10,2013-02-05,Sediment,,baltimore,urban-n-zink-contractor-inc
,63616,"Red Hill Lots (1-84)
Phase 2 - Ben BLVD and Erin Court Lots 18-56","Red Hill Rd, Ben Boulevard, Elkton, Maryland 21921,  39.61253°,  -75.80515°","Elkton,MD,21921",Cecil,,,,,Not Assigned,,cecil,red-hill-lots-1-84-phase-2-ben-blvd-and-erin-court-lots-18-56
,63672,"SHA, MD 200 Intercounty Connector Contract C",BETWEEN I-270 TO US 1 SO,"Beltsville,MD,20705",Prince George's,Settlement Agreement,SA-13-1727,2012-08-06,2012-08-14,Notice of Intent;Sediment,Notice of Intent (Construction),prince-george-s,sha-md-200-intercounty-connector-contract-c
,63836,Michael L. Grady,"16104 Harwood Drive, Summit Subdivision","Frostburg,MD,21532",Allegany,,,,,Not Assigned,,allegany,michael-l-grady
,63964,Toby Miller,"11701 Amherst Ave, Bowman's Addition","Cumberland,MD,21502",Allegany,Settlement Agreement,Eisgruber,2013-03-04,2014-11-20,Sediment;Waterway Construction,,allegany,toby-miller
,64129,Hilmer property,"Wayne Hilmer, 1750 Romancoke Rd","Stevensville,MD,21666",Queen Anne's,Consent Order,CO-14-2091,2014-05-16,,Tidal Wetlands,,queen-anne-s,hilmer-property
,64534,Irishtown,"Irishtown Limited Partnership, Pintail Point Farm Lane","Queenstown,MD,21658",Queen Anne's,Amended Complaint & Penalty,AP-11-1377,2011-07-26,2012-01-18,Non-Tidal Wetlands;Notice of Intent;Sediment,,queen-anne-s,irishtown
,64881,MD193 and Kings Valley Drive,MD 193 and Kings Valley Dr,"Mitchellville,MD,20774",Prince George's,,,,2012-09-25,Not Assigned,,prince-george-s,md193-and-kings-valley-drive
,65180,08-GL-1366 Town of Perryville Meck Property,61 RIVER RD,"Perryville,MD,21903",Cecil,Settlement Agreement,Patrick Noyes,2013-09-26,2015-01-25,Sediment,,cecil,08-gl-1366-town-of-perryville-meck-property
,65333,St. Mary's Villas,St. Mary's Ave & Hibiscus Ct,"La Plata,MD,20646",Charles,Penalty Settlement,C-16-2357,2015-11-24,2016-03-30,Sediment,,charles,st-mary-s-villas
,65700,Greenway Farm Phase II & III,off Pulaski Hwy,"Havre De Grace,MD,21078",Harford,Consent Decree,Eisgruber,2010-09-27,2016-07-13,Sediment,Notice of Intent (Construction),harford,greenway-farm-phase-ii-iii
,65865,Michael C. Fitzpatrick,11910 Emerald Court,"Ellicott City,MD,21043",Howard,Settlement Agreement,Arno Laud,2017-09-22,2017-10-05,Non-Tidal Wetlands;Waterway Construction,,howard,michael-c-fitzpatrick
,65929,17111 Hunter Green Rd,17111 Hunter Green Rd,"Upperco,MD,21155",Baltimore,,,,,Not Assigned,,baltimore,17111-hunter-green-rd
,66431,Joseph P. Wilkinson  FHO,23700 Dry Docking Lane,"Leonardtown,MD,20650",St. Mary's,Penalty Settlement,PS-13-1770,2012-09-11,2012-11-30,Sediment,,st-mary-s,joseph-p-wilkinson-fho
,66714,"John Eggers, 6115 Emerald Lane, pond","6115 Emerald Lane, John Eggers","Eldersburg,MD,21784",Carroll,Penalty Settlement,COP-15-2155,2014-09-30,2014-09-22,Sediment;Waterway Construction,,carroll,john-eggers-6115-emerald-lane-pond
,66826,"Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co.","25840 Rumbley Rd, Rumbley Workboat Harbor","Rumbley,MD,21871",Somerset,,,,,Not Assigned,,somerset,matthew-hungerford-property-25840-rumbley-rd-somerset-co
,67235,"PCM Construction, Inc",10511 Tucker St,"Beltsville,MD,20705",Prince George's,,,,2013-07-01,Not Assigned,,prince-george-s,pcm-construction-inc
,67416,Garrett County Roads Dept. - Big Run Dike,Big Run State Park,"Grantsville,MD,21536",Garrett,,,,,Not Assigned,,garrett,garrett-county-roads-dept-big-run-dike
,67659,"Fisher Marine Construction, Inc",735 South Main St,"Chincoteague,VA,23336",Outside of Maryland,,,,,Not Assigned,,outside-of-maryland,fisher-marine-construction-inc
,67711,Amtrak Way,Amtrak Way,"Linthicum,MD,21090",Anne Arundel,Settlement Agreement,SAP-14-2062,2014-03-06,2014-03-31,Sediment;Waterway Construction,,anne-arundel,amtrak-way
,68106,Norris Taylor Property off Nixon Road,Nixon Road,"Easton,MD,21601",Talbot,,,,,Not Assigned,,talbot,norris-taylor-property-off-nixon-road
,68447,"James Strippy, Jr.",2180 Potts Point Rd,"Huntingtown,MD,20639",Calvert,Consent Decree,CJ-13-1794,2012-11-15,2014-07-14,Tidal Wetlands,,calvert,james-strippy-jr
,68778,"Calvert Crossings, LLC",Hidden Creek Rd,"Port Republic,MD,20676",Calvert,Penalty Settlement,PS-13-1955,2013-06-20,2013-06-21,Notice of Intent,Notice of Intent (Construction),calvert,calvert-crossings-llc
,69699,Perlco Builders/tall Cedars/rd Xing,Tall Cedars Rd,"Clinton,MD,20735",Prince George's,Settlement Agreement,SAP-15-2247,2015-04-22,2015-09-15,Non-Tidal Wetlands;Notice of Intent,Notice of Intent (Construction),prince-george-s,perlco-builders-tall-cedars-rd-xing
,31408,Harford County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Worcester,Offer to Settle,,2023-01-13,,Surface Water Discharge Unauthorized,Collection System (SSO),worcester,harford-county-sanitary-sewer-overflows
,31412,Queen Anne's County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Queen Anne's,Penalty Settlement,"Bull, Kevin",2015-07-22,2015-08-18,Surface Water Discharge Unauthorized,Collection System (SSO),queen-anne-s,queen-anne-s-county-sanitary-sewer-overflows
,31413,Somerset County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Somerset,Penalty Settlement,Patrick Noyes,2017-04-04,2017-05-12,Surface Water Discharge Unauthorized,Collection System (SSO),somerset,somerset-county-sanitary-sewer-overflows
,31416,Worcester County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Worcester,Settlement Agreement,Patrick Noyes,2016-08-23,2016-09-07,Surface Water Discharge Unauthorized,Collection System (SSO),worcester,worcester-county-sanitary-sewer-overflows
,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Required Confirmation,Lenn Roberts,2020-09-01,2020-11-04,Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized,Collection System (SSO),statewide,washington-suburban-sanitary-commission-sanitary-sewer-overflows
,31417,Washington Suburban Sanitary Commission Sanitary Sewer Overflows,Sewerage Systems in Montgomery & Prince George's Counties,"PG & Montgolery Counties,MD,00000",Statewide,Stipulated Penalty,Patrick Noyes,2018-04-05,2018-05-04,Surface Water Discharge Unauthorized,Collection System (SSO),statewide,washington-suburban-sanitary-commission-sanitary-sewer-overflows
,31447,Abner's Marina,3705 Harbor Road,"Chesapeake Beach,MD,20732",Calvert,Consent Decree,Arno Laud,2013-04-12,2018-12-18,Surface Water Discharge Permit;Tidal Wetlands,Industrial Stormwater,calvert,abner-s-marina
,31447,Abner's Marina,3705 Harbor Road,"Chesapeake Beach,MD,20732",Calvert,Penalty Settlement,Arno Laud,2017-08-23,2017-08-31,Sediment;Surface Water Discharge Permit,,calvert,abner-s-marina
,31447,Abner's Marina,3705 Harbor Road,"Chesapeake Beach,MD,20732",Calvert,Penalty Settlement,PS-18-2483,2017-08-23,2017-08-31,Sediment;Surface Water Discharge Permit,,calvert,abner-s-marina
,31562,"Greenlight Biofuels Princess Anne, LLC",11501 Progress Lane,"Princess Anne,MD,21853",Somerset,Settlement Agreement,Arno Laud,2015-07-24,2015-10-16,Surface Water Discharge Unauthorized,Industrial Minor,somerset,greenlight-biofuels-princess-anne-llc
,32218,WSSC - Bi-County Water Main Package Wastewater Treatment Plant,"9212 Kensington Pkwy, Tunnel between Tuckerman Lane & Stoneybrook Dr","Chevy Chase,MD,20815",Montgomery,Consent Order,,2015-01-07,2015-01-22,Surface Water Discharge Permit,,montgomery,wssc-bi-county-water-main-package-wastewater-treatment-plant
,33550,"Byrd Tire & Automotive Services, LLC",1720 Dual Hwy,"Hagerstown,MD,21740",Washington,Penalty Settlement,13-WA-0025,2012-10-17,2012-11-14,Sediment,,washington,byrd-tire-automotive-services-llc
,33550,"Byrd Tire & Automotive Services, LLC",1720 Dual Hwy,"Hagerstown,MD,21740",Washington,Penalty Settlement,C-13-1783,2012-10-17,2012-11-14,Sediment,,washington,byrd-tire-automotive-services-llc
,35508,"Safeway Moving and Storage, Inc",1701 Leland Ave,"Middle River,MD,21220",Baltimore,Settlement Agreement,Julie Gowe,2014-07-18,2014-08-17,Surface Water Discharge Unauthorized,,baltimore,safeway-moving-and-storage-inc
,42398,"P & J Contracting Company, Inc",3010 Ridgewood Ave,"Baltimore City,MD,21215",Baltimore City,Consent Decree,CJ-21-2692,2021-01-31,,Sediment;Stormwater Management,Industrial Minor,baltimore-city,p-j-contracting-company-inc
,42398,"P & J Contracting Company, Inc",3010 Ridgewood Ave,"Baltimore City,MD,21215",Baltimore City,Consent Decree,Jessica Herpel,2015-09-09,2021-02-22,Sediment,Industrial Minor,baltimore-city,p-j-contracting-company-inc
,63616,"Red Hill Lots (1-84)
Phase 2 - Ben BLVD and Erin Court Lots 18-56","Red Hill Rd, Ben Boulevard, Elkton, Maryland 21921,  39.61253°,  -75.80515°","Elkton,MD,21921",Cecil,Settlement Agreement,SCO-10-1067,2012-09-14,2014-03-12,Notice of Intent;Sediment,Notice of Intent (Construction),cecil,red-hill-lots-1-84-phase-2-ben-blvd-and-erin-court-lots-18-56
,63912,JTM Inc./Stoltzfus Pit,28165 Briscoe Anderson Ln,"Mechanicsville,MD,20659",St. Mary's,Site Complaint,,2008-07-18,2016-07-13,Not Applicable,,st-mary-s,jtm-inc-stoltzfus-pit
,63957,Garrett Ave (Ziegler),"385 EDGEWATER RD, Lots 1-3 Home Acres","Beltsville,MD,20705",Prince George's,,,,2016-07-13,Not Applicable,,prince-george-s,garrett-ave-ziegler
,63961,"1816 Park Beach Drive,Seamon Property",1816 Park Beach Dr,"Aberdeen,MD,21001",Harford,Consent Order,,2009-06-10,2009-07-09,Tidal Wetlands,,harford,1816-park-beach-drive-seamon-property
,64006,MO DGS/Casey Parcel 6&7,CRABBS BRANCH WAY,"Gaithersburg,MD,20855",Montgomery,Penalty Settlement,PS-13-1826,2012-02-21,2013-01-15,Notice of Intent;Sediment,Notice of Intent (Construction),montgomery,mo-dgs-casey-parcel-6-7
,64054,Joseph and Stella Hayse,Greenbank Rd and Oak Rd,"Perryville,MD,21903",Cecil,Required Confirmation,SCO-09-0758,,,Not Assigned,,cecil,joseph-and-stella-hayse
,64297,Vera's White Sands Beach Club,1200 White Sands,"Lusby,MD,20657",Calvert,Order of Contempt,CJ-20-2604,2019-07-30,,Tidal Wetlands,,calvert,vera-s-white-sands-beach-club
,22913,Castaways RV Resort and Campground,12550 Eagles Nest Rd,"Berlin,MD,21811",Worcester,"Complaint, Order, Penalty",Eisgruber,2012-08-03,2013-01-08,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor,worcester,castaways-rv-resort-and-campground
,22933,GenON MD Ash Management LLC Brandywine,11700 N Keys Rd,"Brandywine,MD,20613",Prince George's,Penalty Settlement,Joe Bieberich,2017-05-09,2017-05-12,Surface Water Discharge Unauthorized,Industrial Minor,prince-george-s,genon-md-ash-management-llc-brandywine
,23058,Baltimore Scrap Corporation,3000 Vera St,"Curtis Bay,MD,21226",Baltimore City,Settlement Agreement,SA-18-2503,2018-08-13,,Stormwater Management,Industrial Stormwater,baltimore-city,baltimore-scrap-corporation
,23058,Baltimore Scrap Corporation,3000 Vera St,"Curtis Bay,MD,21226",Baltimore City,Stipulated Penalty,SP-22-2787,2022-05-18,,Stormwater Management,Industrial Stormwater,baltimore-city,baltimore-scrap-corporation
,23458,Burch Farms,Mt. Wolfe Rd & Indian Creek Dr,"Charlotte Hall,MD,20622",St. Mary's,Consent Order,COP-16-2363,2016-02-04,2018-04-20,Groundwater Discharge Permit,Municipal Minor,st-mary-s,burch-farms
,23481,Hancock WWTP,Hess Road (NE of Hancock),"Hancock,MD,21750",Washington,Stipulated Penalty,Jess Herpel,2020-07-29,2020-08-13,Surface Water Discharge Permit,Municipal Minor,washington,hancock-wwtp
,23482,The City of Westminster Water Reclamation Facility (WRF),1161 Old New Windsor Pike,"Westminster,MD,21158",Carroll,Required Confirmation,Lenn Roberts,2020-05-04,2020-05-07,Surface Water Discharge Permit,Municipal Major,carroll,the-city-of-westminster-water-reclamation-facility-wrf
,23482,The City of Westminster Water Reclamation Facility (WRF),1161 Old New Windsor Pike,"Westminster,MD,21158",Carroll,Required Confirmation,Lenn Roberts,2020-05-04,2020-05-18,Not Assigned,,carroll,the-city-of-westminster-water-reclamation-facility-wrf
,23546,Chesapeake City North WWTP,90 Boatyard Rd,"Chesapeake City,MD,21915",Cecil,Penalty Settlement,PS-15-2177,2015-01-02,2015-01-13,Groundwater Discharge Unauthorized,Collection System (SSO),cecil,chesapeake-city-north-wwtp
,23551,GenOn MD Ash Management LLC-Faulkner Flyash Management Site,10200 Faulkner Road,"Faulkner,MD,20664",Charles,Stipulated Penalty,Patrick Noyes,2018-08-24,2018-08-24,Surface Water Discharge Permit,Industrial Minor,charles,genon-md-ash-management-llc-faulkner-flyash-management-site
,23641,Tylerton WWTP,"3039 Union Church Rd, Smith Island","Tylerton,MD,21866",Somerset,Consent Order,CO-10-0998,2009-11-23,,Surface Water Discharge Permit,,somerset,tylerton-wwtp
,23647,Maybelle Manor Moblie Home Park,218 Mount Zoar Rd,"Conowingo,MD,21918",Cecil,Consent Order,COP-15-2156,2014-12-03,2017-12-07,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor,cecil,maybelle-manor-moblie-home-park
,23650,Rising Sun WWTP,2500 Conowingo Road,"Rising Sun,MD,21911",Cecil,Consent Decree,"Bull, Kevin",2010-03-24,2015-02-10,Surface Water Discharge Permit,Municipal Minor,cecil,rising-sun-wwtp
,23650,Rising Sun WWTP,2500 Conowingo Road,"Rising Sun,MD,21911",Cecil,Consent Decree,Patrick Noyes,2015-05-14,2016-10-01,Surface Water Discharge Permit,Municipal Minor,cecil,rising-sun-wwtp
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1734950,23652,Newark WWTP,7025 Worcester Hwy,"Newark,MD,21841",Worcester,Penalty Settlement,PS-23-2825,2022-10-14,2023-01-19,Surface Water Discharge Permit,Municipal Minor,worcester,newark-wwtp
,24703,Oldfields School,1500 Glencoe Rd,"Sparks Glencoe,MD,21152",Baltimore,Consent Order,CO-13-1895,2013-04-05,2018-03-28,Groundwater Discharge Permit,Municipal Minor,baltimore,oldfields-school
,25560,Taneytown Wastewater Treatment Plant,3200 Whippoorwill Drive,"Taneytown,MD,21787",Carroll,Consent Order,CO-13-1755,2012-09-10,2021-06-11,Surface Water Discharge Permit,Municipal Major,carroll,taneytown-wastewater-treatment-plant
,25560,Taneytown Wastewater Treatment Plant,3200 Whippoorwill Drive,"Taneytown,MD,21787",Carroll,Stipulated Penalty,SP-21-2734,2021-07-21,2021-08-02,Surface Water Discharge Permit,Municipal Major,carroll,taneytown-wastewater-treatment-plant
,28336,Chaney Enterprises,5200 Chrysler Way,"Upper Marlboro,MD,20772",Prince George's,Administrative Order,AOP-16-2305,2015-09-23,2016-02-23,Surface Water Discharge Permit,Industrial Minor,prince-george-s,chaney-enterprises
